id,Z,female,low_income,baseline_score,D,Y
71,0,1,0,53.845861926263,0,62.17706726422405
72,1,0,0,39.18870354086256,1,60.87046447336185
73,1,0,1,55.74030271175596,1,65.46908033049765
74,1,0,0,50.422236692123,1,62.58707960331984
75,1,0,0,46.17123435811295,0,59.81812110569935
76,1,1,0,58.80306796872815,1,66.22968540192396
77,0,1,0,42.51251739437518,0,63.55366426290424
78,1,1,1,51.66383607798948,1,63.14476299696508
79,0,1,1,58.85276277914634,0,66.55862462184692
80,1,1,0,34.08235568816104,0,60.68478713041527
81,0,1,1,65.80181822716818,0,63.40953981853968
82,0,0,0,58.92041344976528,1,63.24539944322582
83,0,1,0,35.85984058212507,0,63.34005381614713
84,0,1,1,71.6821072018495,1,67.67621674101957
85,1,0,0,25.88562025212121,0,58.2127902308172
86,1,0,0,46.11582026147464,1,59.00749055060131
87,0,1,0,43.60483346588825,1,62.20758105082768
88,1,1,1,52.49169083233478,0,62.46665256305518
89,0,1,1,46.11969454225181,0,61.13542327676716
90,1,0,1,48.42591463495881,1,60.88526063713837
91,0,1,0,48.32755876078046,1,59.7710005959956
92,1,1,0,46.58920221170153,0,65.0869571129098
93,1,0,1,44.05949533921731,1,60.94423913829284
94,1,0,0,56.80515500088926,0,64.30483720525757
95,1,1,0,54.02262032121328,1,63.9064178467852
96,1,0,1,29.22754724011244,1,56.48105245257355
97,1,0,1,43.09548485456187,1,62.22022913417061
98,0,1,1,35.0973286462489,0,56.37080626654974
99,1,0,1,41.31011483467962,1,63.52063753114646
100,1,0,0,36.78454362059378,0,64.38676716569073
101,1,0,0,41.42388475763376,1,60.30705850888251
102,1,0,0,42.49375795056197,1,60.54696318897866
103,0,1,1,59.00975005289408,0,63.16896733775081
104,1,1,1,64.75579981031268,1,66.30708707537249
105,0,0,1,45.4085662686453,1,57.78024929508305
106,0,1,0,59.19238549215972,0,63.74561198667204
107,1,0,1,43.9766528566128,0,59.34075786260629
108,1,0,0,30.81710263823744,1,60.01311794908178
109,1,0,0,38.29903411794057,1,61.90698890846713
110,1,0,0,64.8799590853077,1,62.92739931146262
111,0,0,0,60.754265131398,0,61.18330444267504
112,1,1,0,40.91166516767734,1,60.08411028713743
113,0,1,0,43.74227411835942,0,64.2037699602021
114,0,1,0,46.06458020252006,0,62.87284761293336
115,0,1,0,28.85510104308829,0,59.9988139887199
116,1,1,0,38.18359098846662,0,61.83571237833446
117,1,1,1,35.97019155260674,0,57.38991960930443
118,0,1,0,41.94814469916604,1,60.89909738183756
119,1,0,0,56.91006749852647,0,66.83993240985713
120,1,0,0,62.68453620424246,0,66.22569310320614
121,1,0,0,46.24550255946654,0,60.84802231158832
122,1,0,0,46.99804793344925,0,62.03358450285047
123,0,1,0,30.61377714411521,1,56.72561412929909
124,0,1,1,64.34285223306497,0,66.93756890942522
125,1,0,0,46.66539148788723,0,64.50300605919274
126,0,0,0,45.90821418176834,1,61.03961803436486
127,0,1,1,49.70134748238114,0,62.57487275012995
128,0,0,0,55.99284500465913,0,61.90531858136815
129,0,1,1,49.37908062199671,0,62.42637490630857
130,1,0,1,48.95885249551283,1,64.84069606517079
131,1,0,0,44.25256508663077,1,62.78959335193035
132,0,0,0,61.94481210015564,1,67.22594176831961
133,0,0,0,48.38374733036829,0,62.53065533700077
134,1,0,0,51.162479686815,1,65.42459451001929
135,0,1,1,49.05695086163621,1,62.56322557539803
136,1,1,0,52.89475069523944,1,64.45032298986649
137,1,1,0,53.33138780842802,1,66.74673922528794
138,1,1,0,52.25459872272384,0,62.78323026568451
139,1,1,0,66.0476934059306,1,68.20626924984496
140,1,0,0,64.63989303979537,1,65.214531611523
141,0,0,0,58.82151225895156,1,66.67025595124618
142,0,1,1,52.56628069038214,0,59.3430315984549
143,1,1,0,42.30514959231927,1,61.33589757910477
144,1,0,0,49.76488152410948,1,60.51558026267539
145,1,1,0,55.10660045028323,1,64.52279475201387
146,0,1,1,43.94434811722062,0,57.45548477454125
147,1,1,1,41.49835038061039,1,66.19891954987756
148,0,1,0,32.26901948557788,0,62.04295302893364
149,1,0,0,37.3536598981137,1,62.99557872151276
150,0,0,1,47.15972022093177,1,62.94765566836821
151,1,0,0,37.46975787800007,1,59.26674380123995
152,1,0,1,43.67062175127607,1,62.59710141238705
153,1,0,0,44.39334169540278,0,63.32721908822332
154,0,1,0,46.33564314580416,0,60.81442963865951
155,0,0,1,26.75029610683375,0,57.97232415324548
156,1,1,1,45.55989437247946,0,57.7935929316072
157,1,1,1,38.48732578441705,1,57.64757755473654
158,0,0,1,51.50869110223397,0,64.06390274240172
159,1,1,0,44.14175090497895,1,61.70007225341706
160,0,1,0,60.48240010129248,0,68.14485191990386
161,1,1,1,36.78355186664419,0,61.10270259147049
162,1,0,1,42.79876607081076,0,59.87675005852716
163,1,1,1,35.93118767849318,1,61.67095940272448
164,1,0,0,47.12503314056945,1,59.98975161307325
165,1,0,1,54.87470102270474,0,57.74639716521152
166,1,1,1,52.37730445800018,0,64.06589508272405
167,0,1,0,59.54757025907611,0,65.66562702895658
168,0,0,0,57.43293205786173,1,66.94509983585309
169,0,0,0,27.0406177013462,0,58.8861294778962
170,1,0,1,40.95131307501089,1,57.80940683233848
171,1,1,1,41.68883647168423,1,58.70070427097932
172,1,1,1,48.85222617945885,1,60.71063670013724
173,1,1,1,56.91056613943965,1,61.2022815562561
174,0,1,0,42.15425921664431,0,61.82457010128071
175,0,0,0,44.73131464572493,1,61.57593824470588
176,0,1,1,54.19713422071288,0,63.24410147796651
177,1,0,1,42.59237191896072,1,60.33152289371636
178,0,0,1,42.31957327277946,0,62.89305270666728
179,0,0,0,56.79768020838009,0,64.74244979862343
180,1,1,1,38.0759452041839,0,61.95761843054819
181,1,0,1,62.3578332075543,1,63.47311840064066
182,1,1,1,52.04400501606955,1,62.15488241496828
183,0,0,1,46.32845077806476,0,59.96271969747297
184,1,1,1,64.11857063873549,1,63.67153658424314
185,1,0,0,29.21145946392948,1,60.93532270867478
186,1,1,1,48.01775691763685,1,59.44383461065632
187,1,1,1,52.06572837103945,1,62.17209635127179
188,1,0,0,38.73069989939334,1,62.99597361580579
189,0,1,0,55.98153140930769,1,64.08654721417341
190,0,0,0,36.21704156792486,0,60.0101014837017
191,1,1,1,34.92629689060745,1,60.73644387204266
192,1,0,1,42.26931194877628,0,59.30209042258867
193,0,1,0,73.23779441189177,0,66.15946478871631
194,1,1,0,63.35448719387687,1,67.44673414836959
195,0,0,1,48.14764938619541,0,62.36326741684474
196,0,0,0,44.1863310079155,0,61.58300616750796
197,0,1,1,50.6857730404005,0,61.48758304681884
198,0,0,1,24.16799357250764,0,57.46143982603007
199,1,0,1,62.78442625352413,0,62.75647115980977
200,1,0,0,46.17396477641246,1,59.7548980533805
201,1,0,0,50.49332841585882,1,61.65465074769717
202,1,0,1,47.47228802431958,0,59.23849706884421
203,1,1,1,61.83737406198821,1,63.33056255533968
204,1,0,0,58.15403290581797,1,63.77877921961967
205,1,1,1,60.0024857465668,0,64.89691181553916
206,0,0,1,28.55073499008289,0,56.07833824159286
207,0,0,1,61.77389456973738,0,63.16807352485785
208,1,0,1,40.92953766972295,1,60.78872676352933
209,1,1,1,52.77067269558163,1,63.93797709823449
210,0,0,0,49.85431333615957,0,63.40333084134635
211,1,0,1,47.57741595984452,1,62.09353780548527
212,0,0,0,32.915732271979,0,62.1647481030648
213,1,0,0,48.7083682021069,1,62.81435835388397
214,0,0,0,36.29261674718243,1,58.56863626694164
215,0,1,1,37.81857835208808,0,57.49192269166507
216,1,0,1,41.42737110854506,1,59.42516857943988
217,1,0,1,23.13699139796512,1,58.05756651692417
218,1,0,1,42.16620882037374,1,63.48643046917928
219,0,1,1,41.12467097867517,0,59.77878610590922
220,1,0,1,39.13657332446519,1,60.1248388714557
221,1,1,0,47.03824396450847,1,61.27761425789824
222,0,0,1,33.59470047542296,0,63.09770475892292
223,1,0,1,65.15517227613657,1,64.73325601362289
224,0,0,1,50.55566996796479,0,64.48894548875164
225,0,1,1,56.61143822155015,1,64.14808134699938
226,0,0,0,50.45470114925762,0,64.30038467972277
227,1,0,0,57.8437405908343,1,61.37704636937504
228,1,1,0,38.43357334606814,1,59.1041107339277
229,1,0,0,64.06142090728815,1,68.64341368914218
230,1,1,0,45.81163649228061,1,62.50609706467834
231,0,0,1,41.2261263630724,0,62.50866034738556
232,1,1,1,45.91380543987729,1,63.35568538366562
233,0,1,0,66.13751467473446,0,66.30996582360585
234,0,1,0,49.11252994968651,0,60.27526736630833
235,0,0,1,26.20316825013358,1,60.2881375183953
236,1,0,0,55.86020468384422,1,66.98201927870639
237,1,0,1,68.49449892397325,1,65.01487299590194
238,1,0,0,64.94796976521671,1,65.39891943069888
239,1,0,0,46.31349857742782,0,65.57887583633989
240,1,0,0,33.69685190085976,1,61.20499807943545
241,1,1,0,39.97948938325857,0,63.25395526070254
242,0,0,1,29.52332943283424,0,59.6693469851486
243,0,0,1,48.1805425178655,0,62.46649967854427
244,1,0,0,39.84686682160172,1,65.51198612703998
245,1,0,0,13.2349251346905,1,57.75621411447057
246,1,0,1,58.43714651087755,0,62.3586823201212
247,1,0,0,53.93278394177212,0,63.61656300821725
248,0,1,1,48.79083430092586,0,60.25673854964155
249,1,1,0,56.40712049100207,1,64.47540420397024
250,1,0,0,39.68867020187729,1,62.65209992874516
251,0,0,0,38.65359769982379,0,57.5213068435084
252,1,0,0,65.28287612900724,1,66.15927148879381
253,1,1,1,64.26789758071855,0,64.37237105658573
254,1,1,0,59.38519769319423,0,66.49415591874816
255,1,1,0,49.40638781861426,1,61.88215719289792
256,1,1,1,60.46155194247447,0,60.67861276572049
257,1,1,1,53.08095537494622,1,60.87075990233603
258,0,1,0,48.70676576780563,1,62.29196442684056
259,1,1,1,62.90560213638391,1,65.85968275357367
260,1,1,0,51.62570854973397,0,64.56593207144047
261,1,0,1,36.03761376906324,0,58.78045071734103
262,0,0,0,54.54366544602795,0,64.78146253692256
263,1,1,0,42.50161419982086,1,61.53945563962505
264,0,0,0,59.32843247621832,0,61.76028249580266
265,1,1,1,46.22873197064975,1,61.87609698074706
266,1,1,0,57.53839992284671,0,65.33042158210502
267,0,0,0,60.60876314358262,1,64.86430446483851
268,0,1,0,49.7338986757083,0,64.15635194339549
269,1,0,0,50.47053982246613,0,62.32637226542285
270,1,0,1,53.31283538215024,1,63.48694071616917
271,1,0,1,48.74003835975827,1,62.10730532888345
272,1,1,1,53.28911183932351,1,63.29515159369798
273,1,1,0,46.74472417531478,1,65.72522126715312
274,0,0,0,29.152219071949,0,59.14244481811205
275,0,1,1,55.81877263330894,0,61.00013248675499
276,0,1,0,41.51213393685089,1,60.85329437774149
277,0,1,0,60.48031716196339,1,63.27581323007534
278,0,1,1,56.72415875779434,0,60.98313433754662
279,1,1,1,55.8755701469779,0,63.94528962556306
280,1,1,1,34.94065487633856,1,59.36433823554353
281,0,1,0,55.03860925906326,0,62.08712966253094
282,0,0,1,31.19442486996392,0,57.35631964399628
283,1,1,1,47.42588223272818,1,62.846358941018
284,1,0,1,38.79077000389868,1,60.69884327621408
285,1,1,0,43.54784184173417,0,61.64190716372496
286,1,0,1,49.64161959910686,0,64.68789860239981
287,0,0,1,51.04273905091891,0,64.18616906295621
288,1,1,0,43.00912304865496,1,61.62018463949376
289,1,1,0,61.74487098296794,0,66.87260366786745
290,1,1,0,30.79346183426949,0,57.88888480455869
291,1,1,1,33.20626175833353,1,57.25042959720966
292,1,1,0,59.45764490355909,1,64.15272032732197
293,1,1,1,66.17111127342964,1,62.87753377394399
294,1,1,0,34.23579883433068,0,61.32591444764896
295,0,0,0,56.2995893701528,0,59.66120500348656
296,0,1,1,38.53754794398404,0,64.24683961383302
297,1,1,1,69.54344020450156,1,65.74488568768709
298,1,1,0,51.52697275482565,0,65.51183333911288
299,1,1,1,44.39530118843217,1,63.96850106535842
300,1,1,1,36.45883070100808,1,63.33214876360024
301,0,0,0,38.5322296193879,1,61.85353461988898
302,1,1,0,47.20109733183689,1,63.52139881012643
303,1,0,0,46.95313774853779,0,58.2370635652078
304,1,0,0,62.77980288880961,1,66.6503033067478
305,1,1,1,55.25292336804294,0,60.29420807813369
306,0,1,1,36.53044560677465,0,60.27785866102429
307,0,0,1,51.84329271681668,0,60.51688650962316
308,0,0,1,37.01101207049133,1,58.77218140265578
309,0,1,0,47.95065926421015,1,60.05083419984408
310,1,0,0,66.28084665035706,0,62.36384027596532
311,1,1,1,42.81852084840906,1,64.31320555345803
312,1,1,0,59.69156995119778,1,66.23061468239001
313,0,1,1,43.8944884786242,0,61.79240960435579
314,1,0,1,40.4666383925399,0,55.0956205230576
315,1,1,1,39.91082719386906,1,63.45019646439104
316,1,0,0,49.30976320959272,1,61.03072119093729
317,0,1,0,68.21007140982908,0,67.74341923180343
318,1,0,0,53.07407247941833,0,62.57064114027965
319,0,0,0,40.11833032301583,0,63.07332108987453
320,1,0,1,29.74588905759521,1,59.21998056496854
321,1,0,0,64.82731739746731,0,66.41509617044983
322,1,1,0,51.97924826796218,0,63.34516708795582
323,0,0,0,44.09461718009038,0,63.20581271052102
324,1,0,1,35.08745679165498,0,58.51995269915864
325,1,1,1,54.06881420218301,0,62.42862288785052
326,1,1,1,57.45041024251025,1,63.81032276367754
327,1,0,1,28.99806601415055,1,58.21832455904698
328,1,1,0,59.89996354755268,1,65.63426232978883
329,1,0,0,55.89382858741053,1,65.62710435507526
330,1,1,0,39.26857994534925,1,61.04921027270217
331,0,0,1,69.64377064628194,0,65.38172909320727
332,1,1,0,25.33304880157599,1,59.56873026488729
333,1,1,1,66.10627764254909,1,63.94004768720221
334,1,0,1,51.91393396526406,1,65.79374447224809
335,0,1,0,49.84998131838186,0,62.15549942098699
336,1,1,1,48.76846353084716,1,64.69171430288684
337,1,1,0,55.79196445357036,0,64.29635150269245
338,1,0,0,49.90840957811464,1,61.9564946395351
339,0,0,0,53.88832760440558,0,60.59087337092969
340,0,1,0,36.56270438952136,1,62.20664235436414
341,1,1,1,36.35476752064288,1,63.40958701628512
342,0,0,0,46.32963715360764,1,59.69262090509559
343,0,0,0,44.44839978078406,0,61.42940401462371
344,0,0,1,52.78050394300396,0,60.49079893515238
345,0,0,0,59.60360151048067,0,62.83053279328821
346,0,0,1,46.2294411247062,0,60.3988698079395
347,1,1,0,66.00759651310067,1,67.10082530543433
348,0,1,1,41.47413845243544,1,62.51804405852593
349,0,1,0,45.91977360543444,1,65.20320848942659
350,0,1,0,59.22495817743065,0,62.66820547018332
351,0,0,1,50.65686987952092,0,60.78532282326491
352,0,0,1,38.25240824533257,0,58.97987857399298
353,0,0,0,43.44345391014262,0,60.35819765961037
354,0,1,1,51.0744559017712,0,61.16957035444845
355,0,1,1,36.4820249525303,0,60.14322300913813
356,1,0,0,39.76197042670743,1,59.43598717008025
357,1,0,1,65.23082316491916,1,64.98127225232426
358,0,0,0,40.25431211921432,0,58.6653878050988
359,1,1,1,49.43990442204403,1,62.33270415745026
360,0,1,1,52.89322106200039,0,63.66458938991327
361,1,0,1,39.26564237433598,1,59.456399561681
362,1,0,1,60.83433262781556,0,64.03262451608884
363,1,1,1,52.69660734444854,1,62.71467859373412
364,0,1,1,46.4519694407206,0,61.67569520662475
365,1,0,0,59.79233469305397,1,65.07368466662145
366,1,0,1,42.65545623175132,1,59.8396196974462
367,1,1,1,54.62582910051684,1,67.88425089797857
368,1,0,1,25.77074117577554,0,62.84701360180372
369,1,1,0,41.02722127359845,1,61.70576154748172
370,1,1,1,45.13945244094732,0,63.00622198034126
371,0,0,1,51.01545929433181,0,60.81961784049496
372,0,1,0,46.40401479902781,0,61.56876432682684
373,0,0,1,55.65433608794239,1,62.34438469158308
374,0,1,1,42.04329817782064,0,59.79041547213978
375,0,1,0,53.88162415317419,0,60.17340922793132
376,0,1,1,44.20780741800189,0,60.59660692069494
377,0,1,1,45.58087070699175,0,62.15946372168591
378,1,1,1,41.50711270413458,1,62.74865237021087
379,1,1,1,30.8822489148406,1,60.7728089036372
380,1,1,0,49.96095610908355,1,61.12298715528291
381,0,1,1,53.34141865570617,0,61.42299122538893
382,1,1,0,47.96452457311754,0,60.54497703678008
383,0,0,1,48.1050854371661,0,59.8873872358068
384,0,0,1,43.78363557828632,0,58.51103994210433
385,0,0,1,29.08079954823177,0,58.16204980265855
386,1,1,0,54.38397703074249,1,65.09050685504629
387,1,0,1,37.5906572227318,0,57.79756114052204
388,0,1,0,56.36942322547178,0,64.05640188904057
389,0,0,1,67.40840223553388,1,62.02306234296022
390,1,1,1,34.15411357897968,1,60.0932047221514
391,0,1,1,47.13779541552913,0,63.54239057795301
392,1,0,0,50.47283817856115,1,62.28926902611466
393,1,0,1,34.68803087712736,1,63.98847652864747
394,1,0,1,49.37092677129645,0,64.15677449077624
395,0,0,1,28.67194221121188,0,59.48385099927606
396,0,1,0,28.02139638111917,1,64.45852472601104
397,0,0,1,57.51203381148279,1,64.14655509360479
398,1,1,0,53.5749267013729,0,60.2375079865719
399,0,0,0,59.77995564202423,0,64.60560669693385
400,1,1,1,39.34791362208179,1,56.03339492573234
401,1,1,0,37.86767280499207,0,59.67391166545294
402,1,0,0,40.08127312920166,0,56.66616581405513
403,0,0,0,53.12601931494373,0,60.94923597285844
404,1,1,1,37.53656705190301,1,59.25545276159938
405,0,1,0,59.90439978874832,0,61.77725437569225
406,0,0,0,70.30450528127128,0,64.43567972931584
407,1,1,1,46.06175581968402,1,60.74502303372154
408,0,0,1,56.94452263879487,0,60.08558383209431
409,0,1,0,60.51654268462173,0,64.7145616371601
410,1,0,0,63.59934766189583,1,64.7783174853013
411,0,1,0,54.14644582048833,0,61.19746604944569
412,1,0,1,22.58933425211868,1,57.83327206634244
413,1,1,0,49.30432995112713,1,64.22670161263424
414,0,0,0,48.7702042477353,0,63.66431789060437
415,1,0,1,36.01768952417457,1,60.29749834497286
416,0,0,1,63.74992292188404,0,62.26645787758584
417,1,0,1,49.09475590433585,1,60.45322379852306
418,1,0,0,63.91260553734813,0,66.22846773632182
419,0,1,1,54.87455930221717,1,61.69887191372075
420,1,1,0,67.11494584231555,1,67.02109754669804
421,0,1,0,26.49600801997742,0,61.26362978261903
422,0,0,0,41.08195921801216,0,61.07444030865706
423,1,0,1,37.16541254157448,1,61.14933926888182
424,0,1,0,50.79860602450432,0,59.90862204478695
425,1,0,0,46.29933570977239,0,63.60937936123653
426,0,0,1,65.17672142009781,0,62.21166532589958
427,0,1,1,39.98171092281765,0,60.42780466758482
428,1,0,0,68.62085428803489,1,69.47010068989435
429,0,1,1,61.76536161700533,0,63.37609731808455
430,1,0,0,59.27622231153293,0,63.91775003718775
431,1,1,1,46.61555576807581,1,60.38579576329402
432,0,0,1,45.10410012144142,0,59.78690129116194
433,0,0,1,48.24472454474616,0,59.71811930456634
434,1,1,1,53.29836508831652,1,61.78534210193664
435,0,1,1,33.71459438040348,0,61.06259986513069
436,0,0,1,54.04034571866612,0,61.28703069030716
437,1,1,0,63.72322877454722,0,60.1753409647432
438,0,0,0,46.05620138310164,0,64.81349963835397
439,0,0,0,59.98200562157793,0,62.3601576738174
440,0,1,0,62.53280103833238,1,67.98225727213959
441,1,1,1,59.64782620204075,1,68.14092410116747
442,0,0,0,56.34669010922639,1,62.73235026416548
443,0,1,0,33.62366274213765,0,61.35734315954297
444,0,1,0,63.66261661733229,1,65.79708617792465
445,0,0,0,67.59548476709395,0,65.2698837644059
446,1,0,1,37.42892745584761,1,58.61421901838309
447,1,0,1,53.43349874297344,1,59.57046455060335
448,1,1,1,52.50350779165458,1,64.59393456519804
449,1,0,0,49.08863544738975,1,60.32050688208422
450,1,1,1,59.22662635640329,1,61.13186916178731
451,0,1,1,46.08772409479561,0,61.64795483384214
452,0,0,0,68.692443807516,1,67.6210691179042
453,0,0,1,40.50364542797197,0,59.66964453195631
454,1,1,1,46.89370942486953,0,60.7996537068145
455,1,1,1,48.81681457583701,0,62.51931337308793
456,1,1,0,51.8807674883347,1,64.47162407506003
457,0,1,1,34.63245190899944,0,57.65735506145066
458,0,0,0,60.54108925934405,0,61.18523515004669
459,0,1,1,42.85796089594081,0,61.62642265332088
460,0,0,0,60.63547966730397,0,64.63112856352539
461,1,1,0,51.39567310677212,0,63.10041072920892
462,1,0,1,75.22391421179877,1,67.00039473757326
463,0,0,0,67.52435017723604,0,64.6858403635479
464,0,1,0,40.05932387782038,0,62.29803351938313
465,0,0,0,45.47560070144402,0,59.48291019213904
466,1,1,1,36.84815897395301,1,59.89461963464527
467,0,1,1,48.06680862059959,1,63.31508342870645
468,0,1,0,39.59898938046388,1,62.18573325666229
469,1,1,1,39.57585186580183,1,54.62984829455243
470,1,1,1,51.43194795679435,1,63.1740520413186
471,0,1,1,50.7914657870102,0,63.57166957043258
472,0,0,1,45.92987324703321,0,59.86832875941515
473,1,1,1,17.60026813298836,1,58.72835849646066
474,0,1,0,51.38836205959419,1,63.09152422851388
475,0,0,1,51.05450806753197,0,56.68242702464391
476,0,1,0,46.41892090052283,0,60.02283326595672
477,0,0,0,44.09435058461175,1,62.70310410642185
478,1,0,1,35.23040815401404,1,60.72319184389149
479,0,1,0,48.53356366873641,0,60.9607493947554
480,1,1,0,61.54115424485002,0,64.40204242723632
481,1,1,0,70.45582916744516,1,71.51230730403923
482,1,1,0,50.59816675702719,1,66.36572597580725
483,1,0,1,34.22942379477558,1,60.54271507432506
484,0,0,0,35.9817105357584,0,61.31657326290748
485,0,0,1,70.6372066763098,0,64.39770190027318
486,0,1,1,43.61759387582919,0,60.49995379958687
487,0,1,1,53.56476713526965,0,62.20823968428
488,1,1,0,77.40090511729521,1,67.29887371812588
489,1,0,1,28.11422195057568,1,58.00281058193225
490,0,0,1,60.6630397067994,0,65.51305879395238
491,0,1,0,42.5494158205473,0,61.73152012466218
492,0,0,1,51.81822518995359,0,60.23057162124894
493,1,1,0,51.19064431483589,1,61.11171707832028
494,1,0,1,44.98033430879431,1,59.6743596651786
495,0,0,0,42.9908200844735,0,60.18317355381516
496,0,1,0,51.25923257557018,0,64.56231532711104
497,0,0,0,59.07992535690781,0,65.74617845618243
498,0,1,0,47.68877398055196,1,60.04121295361188
499,1,0,1,52.10797345106228,1,63.73564444983877
500,0,1,0,43.87648378471746,1,63.64466308312505
501,0,1,0,75.45544085279948,1,67.48778859473889
502,1,1,0,59.195917610565,1,65.985566092086
503,1,0,1,21.44025346881974,1,58.57679548606323
504,0,0,0,41.52095900493445,0,61.43225764981329
505,0,0,1,56.90552556211571,0,63.77527085377242
506,0,1,1,41.54161276354993,0,60.01402634163497
507,1,1,0,55.01670593003851,1,65.00298493842328
508,1,0,1,32.3458116402545,1,60.78858231278323
509,1,0,0,42.64929535158299,0,63.31957361881481
510,1,1,1,55.83204950063107,1,66.6754891147594
511,1,0,1,40.52279463109407,1,59.89886895848638
512,0,0,0,52.15306064795659,1,64.75063827339015
513,0,0,1,43.95093700485609,0,62.56205671101774
514,0,0,0,46.38323014124407,0,61.89948698731463
515,1,1,1,49.10269067356328,1,62.77928531466481
516,1,0,1,50.48347720025075,1,62.92991031686227
517,0,1,0,35.26658139647817,1,61.70204238996349
518,1,0,1,67.27036047810307,1,65.96844801354561
519,0,1,1,40.10966930024037,0,56.75851880502113
520,0,1,0,45.52821930114987,0,65.43494451353129
521,1,0,0,49.21347517179086,0,64.1192727002681
522,0,1,1,56.06596331720784,0,64.69682878275682
523,0,1,1,40.75351656864887,0,60.75982716838844
524,0,1,0,35.8130923204,0,60.46032344621794
525,1,0,1,33.19842356697434,1,62.5296517195161
526,1,0,0,41.04446692927243,1,60.68462949987534
527,1,1,1,29.13302109261676,1,57.68464863606108
528,0,1,1,60.0965121980631,0,61.98021298725317
529,1,0,0,37.52618410492335,0,58.81422169864416
530,1,0,0,60.17069555843035,1,63.94318314472012
531,1,1,1,62.86115996965518,0,62.59471914911984
532,1,1,1,44.24527609317133,1,62.34494207084717
533,0,1,0,48.64647428717479,0,64.19536509242739
534,1,1,0,56.15143336293629,1,64.96450815203158
535,0,0,0,47.37622484580039,0,64.43820028878994
536,1,1,0,53.89275640487212,1,63.99021764950975
537,1,0,1,26.47970121562985,1,63.61856045653285
